Age,Year,Incidence,Sex
90,1990,0.0000216,m
10,1991,0,m
11,1991,0.00000022,m
12,1991,0.0000045,m
13,1991,0.0000444,m
14,1991,0.000268,m
15,1991,0.001,m
16,1991,0.0028,m
17,1991,0.0056,m
18,1991,0.01,m
19,1991,0.0122,m
20,1991,0.0138,m
21,1991,0.0152,m
22,1991,0.0164,m
23,1991,0.0174,m
24,1991,0.0184,m
25,1991,0.0196,m
26,1991,0.0206,m
27,1991,0.0216,m
28,1991,0.0226,m
29,1991,0.0236,m
30,1991,0.0242,m
31,1991,0.0246,m
32,1991,0.0248,m
33,1991,0.0248,m
34,1991,0.0246,m
35,1991,0.0242,m
36,1991,0.0234,m
37,1991,0.0226,m
38,1991,0.0216,m
39,1991,0.0206,m
40,1991,0.0194,m
41,1991,0.0182,m
42,1991,0.0168,m
43,1991,0.0156,m
44,1991,0.0144,m
45,1991,0.013,m
46,1991,0.0118,m
47,1991,0.0108,m
48,1991,0.0096,m
49,1991,0.0086,m
50,1991,0.0076,m
51,1991,0.0066,m
52,1991,0.0058,m
53,1991,0.0052,m
54,1991,0.0044,m
55,1991,0.004,m
56,1991,0.0034,m
57,1991,0.003,m
58,1991,0.0026,m
59,1991,0.0022,m
60,1991,0.0018,m
61,1991,0.0016,m
62,1991,0.0014,m
63,1991,0.0012,m
64,1991,0.001,m
65,1991,0.0008,m
66,1991,0.0008,m
67,1991,0.0006,m
68,1991,0.0006,m
69,1991,0.0004,m
70,1991,0.0004,m
71,1991,0.0004,m
72,1991,0.000254,m
73,1991,0.000216,m
74,1991,0.000185,m
75,1991,0.0001578,m
76,1991,0.0001358,m
77,1991,0.000116,m
78,1991,0.000098,m
79,1991,0.0000814,m
80,1991,0.0000714,m
81,1991,0.0000624,m
82,1991,0.0000542,m
83,1991,0.0000468,m
84,1991,0.0000406,m
85,1991,0.0000358,m
86,1991,0.0000324,m
87,1991,0.000029,m
88,1991,0.000028,m
89,1991,0.0000278,m
90,1991,0.00003,m
10,1992,0,m
11,1992,0.00000032,m
12,1992,0.00000676,m
13,1992,0.000067,m
14,1992,0.0004,m
15,1992,0.0016,m
16,1992,0.0044,m
17,1992,0.0084,m
18,1992,0.0148,m
19,1992,0.0178,m
20,1992,0.02,m
21,1992,0.0216,m
22,1992,0.023,m
23,1992,0.0242,m
24,1992,0.025,m
25,1992,0.0258,m
26,1992,0.0266,m
27,1992,0.0274,m
28,1992,0.0282,m
29,1992,0.029,m
30,1992,0.0292,m
31,1992,0.0294,m
32,1992,0.0294,m
33,1992,0.0292,m
34,1992,0.0286,m
35,1992,0.028,m
36,1992,0.0272,m
37,1992,0.0262,m
38,1992,0.025,m
39,1992,0.0236,m
40,1992,0.0224,m
41,1992,0.0208,m
42,1992,0.0194,m
43,1992,0.018,m
44,1992,0.0166,m
45,1992,0.0152,m
46,1992,0.0138,m
47,1992,0.0124,m
48,1992,0.0112,m
49,1992,0.01,m
50,1992,0.0088,m
51,1992,0.0078,m
52,1992,0.0068,m
53,1992,0.006,m
54,1992,0.0052,m
55,1992,0.0046,m
56,1992,0.004,m
57,1992,0.0034,m
58,1992,0.003,m
59,1992,0.0026,m
60,1992,0.0022,m
61,1992,0.0018,m
62,1992,0.0016,m
63,1992,0.0014,m
64,1992,0.0012,m
65,1992,0.001,m
66,1992,0.0008,m
67,1992,0.0008,m
68,1992,0.0006,m
69,1992,0.0006,m
70,1992,0.0004,m
71,1992,0.0004,m
72,1992,0.0004,m
73,1992,0.00028,m
74,1992,0.000242,m
75,1992,0.00021,m
76,1992,0.0001828,m
77,1992,0.0001608,m
78,1992,0.00014,m
79,1992,0.0001202,m
80,1992,0.000101,m
81,1992,0.0000912,m
82,1992,0.0000822,m
83,1992,0.0000732,m
84,1992,0.0000648,m
85,1992,0.0000574,m
86,1992,0.0000514,m
87,1992,0.0000472,m
88,1992,0.0000428,m
89,1992,0.0000426,m
90,1992,0.0000538,m
10,1993,0,m
11,1993,0.00000044,m
12,1993,0.00000924,m
13,1993,0.0000924,m
14,1993,0.0006,m
15,1993,0.0022,m
16,1993,0.006,m
17,1993,0.0114,m
18,1993,0.02,m
19,1993,0.0238,m
20,1993,0.0264,m
21,1993,0.0284,m
22,1993,0.03,m
23,1993,0.0312,m
24,1993,0.032,m
25,1993,0.0324,m
26,1993,0.0328,m
27,1993,0.0332,m
28,1993,0.0336,m
29,1993,0.034,m
30,1993,0.034,m
31,1993,0.0338,m
32,1993,0.0334,m
33,1993,0.033,m
34,1993,0.0322,m
35,1993,0.0312,m
36,1993,0.0302,m
37,1993,0.029,m
38,1993,0.0276,m
39,1993,0.0262,m
40,1993,0.0248,m
41,1993,0.0232,m
42,1993,0.0216,m
43,1993,0.02,m
44,1993,0.0184,m
45,1993,0.017,m
46,1993,0.0154,m
47,1993,0.014,m
48,1993,0.0126,m
49,1993,0.0114,m
50,1993,0.01,m
51,1993,0.0088,m
52,1993,0.0078,m
53,1993,0.0068,m
54,1993,0.006,m
55,1993,0.0052,m
56,1993,0.0046,m
57,1993,0.004,m
58,1993,0.0034,m
59,1993,0.003,m
60,1993,0.0026,m
61,1993,0.0022,m
62,1993,0.0018,m
63,1993,0.0016,m
64,1993,0.0014,m
65,1993,0.0012,m
66,1993,0.001,m
67,1993,0.0008,m
68,1993,0.0008,m
69,1993,0.0006,m
70,1993,0.0006,m
71,1993,0.0004,m
72,1993,0.0004,m
73,1993,0.0004,m
74,1993,0.00031,m
75,1993,0.000274,m
76,1993,0.000242,m
77,1993,0.000216,m
78,1993,0.000194,m
79,1993,0.0001726,m
80,1993,0.0001506,m
81,1993,0.000128,m
82,1993,0.000119,m
83,1993,0.0001096,m
84,1993,0.0000998,m
85,1993,0.0000898,m
86,1993,0.000081,m
87,1993,0.0000742,m
88,1993,0.00007,m
89,1993,0.0000662,m
90,1993,0.0000896,m
10,1994,0,m
11,1994,0.00000054,m
12,1994,0.00001168,m
13,1994,0.0001172,m
14,1994,0.0008,m
15,1994,0.0028,m
16,1994,0.0074,m
17,1994,0.0142,m
18,1994,0.0248,m
19,1994,0.0294,m
20,1994,0.0326,m
21,1994,0.0348,m
22,1994,0.0364,m
23,1994,0.0376,m
24,1994,0.0382,m
25,1994,0.0386,m
26,1994,0.0388,m
27,1994,0.0386,m
28,1994,0.0386,m
29,1994,0.0386,m
30,1994,0.038,m
31,1994,0.0376,m
32,1994,0.0368,m
33,1994,0.036,m
34,1994,0.035,m
35,1994,0.0338,m
36,1994,0.0326,m
37,1994,0.0312,m
38,1994,0.0296,m
39,1994,0.0282,m
40,1994,0.0266,m
41,1994,0.025,m
42,1994,0.0232,m
43,1994,0.0216,m
44,1994,0.02,m
45,1994,0.0184,m
46,1994,0.0168,m
47,1994,0.0152,m
48,1994,0.0138,m
49,1994,0.0124,m
50,1994,0.0112,m
51,1994,0.0098,m
52,1994,0.0088,m
53,1994,0.0076,m
54,1994,0.0066,m
55,1994,0.0058,m
56,1994,0.0052,m
57,1994,0.0044,m
58,1994,0.0038,m
59,1994,0.0034,m
60,1994,0.003,m
61,1994,0.0026,m
62,1994,0.0022,m
63,1994,0.0018,m
64,1994,0.0016,m
65,1994,0.0014,m
66,1994,0.0012,m
67,1994,0.001,m
68,1994,0.001,m
69,1994,0.0008,m
70,1994,0.0006,m
71,1994,0.0006,m
72,1994,0.0006,m
73,1994,0.0004,m
74,1994,0.0004,m
75,1994,0.000344,m
76,1994,0.000312,m
77,1994,0.000282,m
78,1994,0.000256,m
79,1994,0.000236,m
80,1994,0.000214,m
81,1994,0.0001888,m
82,1994,0.0001626,m
83,1994,0.0001544,m
84,1994,0.000145,m
85,1994,0.000134,m
86,1994,0.000123,m
87,1994,0.0001132,m
88,1994,0.0001062,m
89,1994,0.000104,m
90,1994,0.0001346,m
10,1995,0,m
11,1995,0.00000064,m
12,1995,0.00001376,m
13,1995,0.000139,m
14,1995,0.0008,m
15,1995,0.0034,m
16,1995,0.0088,m
17,1995,0.0168,m
18,1995,0.029,m
19,1995,0.0342,m
20,1995,0.0374,m
21,1995,0.0398,m
22,1995,0.0414,m
23,1995,0.0426,m
24,1995,0.0434,m
25,1995,0.0436,m
26,1995,0.0436,m
27,1995,0.0432,m
28,1995,0.0428,m
29,1995,0.0424,m
30,1995,0.0414,m
31,1995,0.0404,m
32,1995,0.0394,m
33,1995,0.0382,m
34,1995,0.037,m
35,1995,0.0356,m
36,1995,0.034,m
37,1995,0.0326,m
38,1995,0.031,m
39,1995,0.0294,m
40,1995,0.0278,m
41,1995,0.0262,m
42,1995,0.0244,m
43,1995,0.0228,m
44,1995,0.021,m
45,1995,0.0194,m
46,1995,0.0178,m
47,1995,0.0162,m
48,1995,0.0148,m
49,1995,0.0134,m
50,1995,0.012,m
51,1995,0.0108,m
52,1995,0.0094,m
53,1995,0.0084,m
54,1995,0.0072,m
55,1995,0.0064,m
56,1995,0.0056,m
57,1995,0.0048,m
58,1995,0.0042,m
59,1995,0.0038,m
60,1995,0.0032,m
61,1995,0.0028,m
62,1995,0.0024,m
63,1995,0.002,m
64,1995,0.0018,m
65,1995,0.0016,m
66,1995,0.0014,m
67,1995,0.0012,m
68,1995,0.001,m
69,1995,0.001,m
70,1995,0.0008,m
71,1995,0.0008,m
72,1995,0.0006,m
73,1995,0.0006,m
74,1995,0.0004,m
75,1995,0.000424,m
76,1995,0.000382,m
77,1995,0.000352,m
78,1995,0.000324,m
79,1995,0.0003,m
80,1995,0.000282,m
81,1995,0.000258,m
82,1995,0.000232,m
83,1995,0.000202,m
84,1995,0.0001952,m
85,1995,0.0001864,m
86,1995,0.0001754,m
87,1995,0.0001646,m
88,1995,0.000156,m
89,1995,0.0001524,m
90,1995,0.000199,m
10,1996,0,m
11,1996,0.0000007,m
12,1996,0.0000153,m
13,1996,0.0001554,m
14,1996,0.001,m
15,1996,0.0038,m
16,1996,0.01,m
17,1996,0.0188,m
18,1996,0.0322,m
19,1996,0.0376,m
20,1996,0.0412,m
21,1996,0.0434,m
22,1996,0.045,m
23,1996,0.0462,m
24,1996,0.0468,m
25,1996,0.0472,m
26,1996,0.047,m
27,1996,0.0466,m
28,1996,0.0458,m
29,1996,0.0452,m
30,1996,0.0436,m
31,1996,0.0424,m
32,1996,0.041,m
33,1996,0.0396,m
34,1996,0.038,m
35,1996,0.0364,m
36,1996,0.0348,m
37,1996,0.0332,m
38,1996,0.0316,m
39,1996,0.03,m
40,1996,0.0282,m
41,1996,0.0266,m
42,1996,0.025,m
43,1996,0.0234,m
44,1996,0.0218,m
45,1996,0.02,m
46,1996,0.0184,m
47,1996,0.017,m
48,1996,0.0154,m
49,1996,0.014,m
50,1996,0.0126,m
51,1996,0.0114,m
52,1996,0.0102,m
53,1996,0.009,m
54,1996,0.0078,m
55,1996,0.0068,m
56,1996,0.006,m
57,1996,0.0052,m
58,1996,0.0046,m
59,1996,0.004,m
60,1996,0.0034,m
61,1996,0.003,m
62,1996,0.0026,m
63,1996,0.0022,m
64,1996,0.002,m
65,1996,0.0016,m
66,1996,0.0014,m
67,1996,0.0012,m
68,1996,0.0012,m
69,1996,0.001,m
70,1996,0.0008,m
71,1996,0.0008,m
72,1996,0.0008,m
73,1996,0.0006,m
74,1996,0.0006,m
75,1996,0.0006,m
76,1996,0.000456,m
77,1996,0.000418,m
78,1996,0.000392,m
79,1996,0.000368,m
80,1996,0.000344,m
81,1996,0.000328,m
82,1996,0.000306,m
83,1996,0.000278,m
84,1996,0.000244,m
85,1996,0.00024,m
86,1996,0.000232,m
87,1996,0.000224,m
88,1996,0.000216,m
89,1996,0.000212,m
90,1996,0.000274,m
10,1997,0,m
11,1997,0.00000074,m
12,1997,0.0000162,m
13,1997,0.0001648,m
14,1997,0.001,m
15,1997,0.004,m
16,1997,0.0106,m
17,1997,0.0202,m
18,1997,0.0344,m
19,1997,0.0402,m
20,1997,0.0438,m
21,1997,0.046,m
22,1997,0.0476,m
23,1997,0.0484,m
24,1997,0.049,m
25,1997,0.0492,m
26,1997,0.049,m
27,1997,0.0484,m
28,1997,0.0476,m
29,1997,0.0468,m
30,1997,0.045,m
31,1997,0.0434,m
32,1997,0.0416,m
33,1997,0.04,m
34,1997,0.0382,m
35,1997,0.0366,m
36,1997,0.0348,m
37,1997,0.0332,m
38,1997,0.0316,m
39,1997,0.0298,m
40,1997,0.0282,m
41,1997,0.0266,m
42,1997,0.025,m
43,1997,0.0236,m
44,1997,0.022,m
45,1997,0.0204,m
46,1997,0.0188,m
47,1997,0.0172,m
48,1997,0.0158,m
49,1997,0.0144,m
50,1997,0.013,m
51,1997,0.0118,m
52,1997,0.0106,m
53,1997,0.0094,m
54,1997,0.0084,m
55,1997,0.0072,m
56,1997,0.0064,m
57,1997,0.0056,m
58,1997,0.0048,m
59,1997,0.0042,m
60,1997,0.0036,m
61,1997,0.0032,m
62,1997,0.0028,m
63,1997,0.0024,m
64,1997,0.0022,m
65,1997,0.0018,m
66,1997,0.0016,m
67,1997,0.0014,m
68,1997,0.0012,m
69,1997,0.001,m
70,1997,0.001,m
71,1997,0.0008,m
72,1997,0.0008,m
73,1997,0.0008,m
74,1997,0.0006,m
75,1997,0.0006,m
76,1997,0.000528,m
77,1997,0.00048,m
78,1997,0.000446,m
79,1997,0.000426,m
80,1997,0.000404,m
81,1997,0.000384,m
82,1997,0.00037,m
83,1997,0.000348,m
84,1997,0.00032,m
85,1997,0.000286,m
86,1997,0.000286,m
87,1997,0.000284,m
88,1997,0.000284,m
89,1997,0.000284,m
90,1997,0.000364,m
10,1998,0,m
11,1998,0.00000076,m
12,1998,0.0000164,m
13,1998,0.0001668,m
14,1998,0.001,m
15,1998,0.0042,m
16,1998,0.011,m
17,1998,0.0208,m
18,1998,0.0354,m
19,1998,0.0414,m
20,1998,0.0452,m
21,1998,0.0474,m
22,1998,0.0488,m
23,1998,0.0494,m
24,1998,0.0498,m
25,1998,0.0498,m
26,1998,0.0496,m
27,1998,0.049,m
28,1998,0.048,m
29,1998,0.0472,m
30,1998,0.0452,m
31,1998,0.0434,m
32,1998,0.0416,m
33,1998,0.0398,m
34,1998,0.0378,m
35,1998,0.036,m
36,1998,0.0344,m
37,1998,0.0326,m
38,1998,0.031,m
39,1998,0.0294,m
40,1998,0.0278,m
41,1998,0.0262,m
42,1998,0.0248,m
43,1998,0.0232,m
44,1998,0.0218,m
